,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Registration Limit,Division.1,Time,Slot_code,Dept,Yxx ka Y,Restrictions
10,timetable,AE 312,Aerodynamics Laboratory,A - Aniruddha Sinha A - Dhwanil Shukla A - Vineeth Nair A - Viren Menezes I - Mandal J.C.,   FullSemester,L1 Mon-L1-14:00:00-16:55:00,, 0,, Mon-L1-14:00:00-16:55:00,L1,AE,3,
11,timetable,AE 314,Aircraft Structures Laboratory,I - Chandra S. Yerramalli,   FullSemester,L4 Fri-L4-14:00:00-16:55:00,, 0,, Fri-L4-14:00:00-16:55:00,L4,AE,3,
12,timetable,AE 316,Aircraft Propulsion Laboratory,I - Hrishikesh Gadgil,   FullSemester,L2 Tue-L2-14:00:00-16:55:00,, 0,, Tue-L2-14:00:00-16:55:00,L2,AE,3,
13,timetable,AE 330,Aerospace Propulsion,I - Sudarshan Kumar,   FullSemester,8 Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,, 0,,Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,8,AE,3,
14,timetable,AE 332,Aircraft Design,I - Avijit Chatterjee,   FullSemester,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,, 0,,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,AE,3,
15,timetable,AE 332,Aircraft Design,I - Avijit Chatterjee,   FullSemester,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00, M, 20,,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,AE,3,
16,timetable,AE 427,Control Systems Laboratory,A - Shashi Ranjan Kumar I - Arnab Maity,   FullSemester,L3 Thu-L3-14:00:00-16:55:00,, 0,, Thu-L3-14:00:00-16:55:00,L3,AE,4,
17,timetable,AE 607,Aerospace Propulsion Laboratory,I - Hrishikesh Gadgil,   FullSemester,L2 Tue-L2-14:00:00-16:55:00,, 0,, Tue-L2-14:00:00-16:55:00,L2,AE,6,
18,timetable,AE 611,Aerodynamics Lab,A - Aniruddha Sinha A - Dhwanil Shukla A - Vineeth Nair A - Viren Menezes I - Mandal J.C.,   FullSemester,L1 Mon-L1-14:00:00-16:55:00,, 0,, Mon-L1-14:00:00-16:55:00,L1,AE,6,
19,timetable,AE 622,Computing of High Speed Flows,I - Krishnendu Sinha,   FullSemester,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,, 0,,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,AE,6,
20,timetable,AE 624,Hypersonic Flow Theory,I - Viren Menezes,   FullSemester,13 Mon-13A-19:00:00-20:25:00 Thu-13B-19:00:00-20:25:00,, 0,, Mon-13A-19:00:00-20:25:00 Thu-13B-19:00:00-20:25:00,13,AE,6,
21,timetable,AE 648,Energy Methods in Structural Mechanics,I - Chandra S. Yerramalli,   FullSemester,3 Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,, 0,,Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,3,AE,6,
22,timetable,AE 649,Finite Element Method,A - P J Guruprasad I - Mujumdar P. M.,   FullSemester,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,, 15,,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,AE,6,
23,timetable,AE 660,Interfacial Phenomena in Liquid Atomization,I - Hrishikesh Gadgil,   FullSemester,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,, 15,,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,AE,6,
24,timetable,AE 665,Aircraft Stealth Technology,I - S. P. Mahulikar,   FullSemester,13 Mon-13A-19:00:00-20:25:00 Thu-13B-19:00:00-20:25:00,, 37,, Mon-13A-19:00:00-20:25:00 Thu-13B-19:00:00-20:25:00,13,AE,6,
25,timetable,AE 666,Adaptive and Learning Control Systems,I - Arnab Maity,   FullSemester,12 Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,, 0,, Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,12,AE,6,
26,timetable,AE 667,Rotary Wing Aerodynamics,I - Dhwanil Shukla,   FullSemester,1 Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,, 0,,Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,1,AE,6,
27,timetable,AE 678,Aeroelasticity,I - Mujumdar P. M.,   FullSemester,8 Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,, 0,,Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,8,AE,6,
28,timetable,AE 699,Control Systems Lab,A - Shashi Ranjan Kumar I - Arnab Maity,   FullSemester,L3 Thu-L3-14:00:00-16:55:00,, 0,, Thu-L3-14:00:00-16:55:00,L3,AE,6,
29,timetable,AE 706,Computational Fluid Dynamics,I - Mandal J.C.,   FullSemester,15 Fri-15B-19:00:00-20:25:00 Tue-15A-19:00:00-20:25:00,, 45,, Fri-15B-19:00:00-20:25:00 Tue-15A-19:00:00-20:25:00,15,AE,7,
30,timetable,AE 708,Aerospace Propulsion,I - Sudarshan Kumar,   FullSemester,8 Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,, 0,,Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,8,AE,7,
31,timetable,AE 710,Aeroacoustics,I - Aniruddha Sinha,   FullSemester,5 Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,, 0,,Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,5,AE,7,
32,timetable,AE 711,Aircraft Propulsion,I - Kowsik V R Bodi,   FullSemester,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,, 0,,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,AE,7,
33,timetable,AE 713,Space Flight Dynamics,I - Joshi Ashok,   FullSemester,3 Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,, 15,,Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,3,AE,7,
34,timetable,AE 714,Aircraft Design,I - Pant R.K.,   FullSemester,12 Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,, 50,, Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,12,AE,7,
35,timetable,AE 717,Aircraft Flight Dynamics,I - Shashi Ranjan Kumar,   FullSemester,14 Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,, 0,, Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,14,AE,7,
36,timetable,AE 727,Aircraft Structural Mechanics Lab.,I - Chandra S. Yerramalli,   FullSemester,L4 Fri-L4-14:00:00-16:55:00,, 0,, Fri-L4-14:00:00-16:55:00,L4,AE,7,
37,timetable,AE 738,Tensors for Engineers,I - Krishnendu Haldar,   FullSemester,5 Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,, 0,,Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,5,AE,7,
38,timetable,AE 755,Optimization for Engineering Design,I - Abhijit Gogulapati,   FullSemester,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,, 0,,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,AE,7,
39,timetable,AE 759,Systems Engineering Principles,I - Arya Hemendra,   FullSemester,15 Fri-15B-19:00:00-20:25:00 Tue-15A-19:00:00-20:25:00,, 0,, Fri-15B-19:00:00-20:25:00 Tue-15A-19:00:00-20:25:00,15,AE,7,
40,timetable,AE 780,Computational Heat Transfer and Fluid Flow,I - Ganapathi Bhat,   FullSemester,14 Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,, 0,, Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,14,AE,7,
41,timetable,AE 792,Communication Skills -II,A - Chandra S. Yerramalli I - Dhwanil Shukla,   FullSemester,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,, 0,,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,AE,7,
42,timetable,BB 404,Metabolism and Bioenergetics,I - Ashutosh Kumar,   FullSemester,5 Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,, 0,,Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,5,BB,4,
43,timetable,BB 404,Metabolism and Bioenergetics,I - Ashutosh Kumar,   FullSemester,5 Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00, M, 15,,Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,5,BB,4,
44,timetable,BB 406,Genetic Engineering,I - Kiran Kondabagilu,   FullSemester,5 Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,, 0,,Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,5,BB,4,
45,timetable,BB 408,Immunology,A - G. Subrahmanyam I - Rahul Purwar,   FullSemester,1 Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,, 0,,Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,1,BB,4,
46,timetable,BB 410,Bioinformatics - I Lab,I - P.V.Balaji,   FullSemester,3 Mon-3A-10:35:00-11:30:00 Mon-L1-14:00:00-16:55:00,, 0,,Mon-3A-10:35:00-11:30:00 Mon-L1-14:00:00-16:55:00,3,BB,4,
47,timetable,BB 414,Molecular Diagnostics,I - Patankar Swati,   SecondHalf,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,, 0,,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,BB,4,
48,timetable,BB 416,Research Methodology and Scientific Communication Skills,I - Patankar Swati,   FirstHalf,10 Fri-10B-14:00:00-15:25:00 Tue-10A-14:00:00-15:25:00,, 0,, Fri-10B-14:00:00-15:25:00 Tue-10A-14:00:00-15:25:00,10,BB,4,
49,timetable,BB 513,Critical Analysis of Classical Papers (Seminar),I - R. Srivastava,   FullSemester,,, 0,,,0,BB,5,
50,timetable,BB 519,Project Proposal Presentation and Dissertation,I - R. Srivastava,   FullSemester,,, 0,,,0,BB,5,
51,timetable,BB 551,Genetic Engineering Laboratory,I - Kiran Kondabagilu,   FullSemester,Fri-L4-14:00:00-16:55:00 Thu-L3-14:00:00-16:55:00 Wed-LX-14:00:00-16:55:00,, 0,,i-L4-14:00:00-16:55:00 Thu-L3-14:00:00-16:55:00 Wed-LX-14:00:00-16:55:00,L3,BB,5,
52,tutorial,BB 551,Genetic Engineering Laboratory,,   FullSemester,4 Mon-4A-11:35:00-12:30:00,,,,Mon-4A-11:35:00-12:30:00,4,BB,5,
53,timetable,BB 592,Project Stage II,I - Ashutosh Kumar,   FullSemester,,, 0,,,0,BB,5,
54,timetable,BB 602,Research philosophy,I - Patankar Swati,   FullSemester,5 Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,, 0,,Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,5,BB,6,
55,timetable,BB 606,Cellular Electricity: Physics & Modeling,I - Manchanda Rohit,   FullSemester,11 Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,, 0,, Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,11,BB,6,
56,timetable,BB 608,Advannced Biomaterials and Regeneratiion,I - Banerjee Rinti,   FullSemester,8 Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,, 0,,Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,8,BB,6,
57,timetable,BB 610,Biomedical Microsystems,I - R. Srivastava,   FullSemester,5 Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,, 90,,Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,5,BB,6,
58,timetable,BB 610,Biomedical Microsystems,I - R. Srivastava,   FullSemester,5 Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00, M, 10,,Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,5,BB,6,
59,timetable,BB 611,Cell Cycle and Epigenetic Control,I - S. Ghosh,   FullSemester,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,, 0,,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,BB,6,
60,timetable,BB 612,Cell Mechanics and Mechanobiology,I - Shamik Sen,   FullSemester,3 Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,, 0,,Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,3,BB,6,
61,timetable,BB 616,Cellular and Tissue Engineering,I - Prakriti Tayalia,   FullSemester,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,, 0,,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,BB,6,
62,timetable,BB 618,Medical Instrumentation,I - Mukherji Soumyo,   FullSemester,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,, 0,,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,BB,6,
63,timetable,BB 621,Biostatistics,I - Shamik Sen,   FullSemester,1 Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,, 0,,Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,1,BB,6,
64,timetable,BB 623,Mechanisms of Bacterial Pathogenesis,I - Anirban Banerjee,   FullSemester,4 Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,, 0,,Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,4,BB,6,
65,timetable,BB 624,Microfluidics: physics and applications,I - Debjani Paul,   FullSemester,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,, 0,,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,BB,6,
66,timetable,BB 626,Modeling Biological Systems and Processes,I - Ranjith P.,   FullSemester,12 Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,, 0,, Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,12,BB,6,
67,timetable,BB 628,Molecular Cell Signaling,I - G. Subrahmanyam,   FullSemester,11 Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,, 0,, Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,11,BB,6,
68,timetable,BB 630,Industrial Microbiology,I - N.S. Punekar,   FullSemester,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,, 0,,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,BB,6,
69,timetable,BB 632,Topics in Biotechnology II,A - Samir Maji I - D. Panda,   FullSemester,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,, 0,,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,BB,6,
70,timetable,BB 634,Environmental Biotechnology,I - P. S. Phale,   SecondHalf,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,, 0,,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,BB,6,
71,timetable,BB 635,Bacterial pathogenesis,I - Anirban Banerjee,   FirstHalf,4 Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,, 0,,Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,4,BB,6,
72,timetable,BB 640,Biologics,I - Ashutosh Kumar,   SecondHalf,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,, 0,,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,BB,6,
73,timetable,BB 642,Protein Crystallography,I - Prasenjit Bhaumik,   FullSemester,14 Tue-14A-17:30:00-18:55:00,, 20,, Tue-14A-17:30:00-18:55:00,14,BB,6,
74,timetable,BB 653,Experimental Techniques in Biomedical Engineering,A - Ambarish Kunwar A - Hari M. Varma A - Mukherji Soumyo A - Prakriti Tayalia A - R. Srivastava A - Sandip Laxman Kaledhonkar A - Shamik Sen I - Debjani Paul,   FullSemester,4 Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,, 0,,Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,4,BB,6,
75,timetable,BB 658,Principles of Tissue Engineering,I - Prakriti Tayalia,   FirstHalf,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,, 0,,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,BB,6,
76,timetable,BB 662,Biological Kinetics,I - Samir Maji,   SecondHalf,4 Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,, 0,,Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,4,BB,6,
77,timetable,BB 664,Molecular Biosensors,I - D. Panda,   FirstHalf,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,, 0,,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,BB,6,
78,timetable,BB 701,Research Proposal,I - D. Panda,   FullSemester,,, 0,,,0,BB,7,
79,timetable,BB 702,Technology in Surgical Reconstruction,I - Vivek P. Soni,   FirstHalf,10 Fri-10B-14:00:00-15:25:00 Tue-10A-14:00:00-15:25:00,, 0,, Fri-10B-14:00:00-15:25:00 Tue-10A-14:00:00-15:25:00,10,BB,7,
80,timetable,BB 704,Diffuse Optical Imaging,I - Hari M. Varma,   FullSemester,8 Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,, 0,,Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,8,BB,7,
81,timetable,BB 798,II Stage Project,A - Hari M. Varma I - Neeta Kanekar,   FullSemester,,, 0,,,0,BB,7,
82,timetable,BBS802,Seminar,I - Kiran Kondabagilu,   FullSemester,,, 0,,,0,BBS,8,
83,timetable,CE 102,Engineering Mechanics,I - Jayadipta Ghosh,   FullSemester,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00, S1, 90,,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,CE,1,
84,timetable,CE 102,Engineering Mechanics,I - Manish Kumar,   FullSemester,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00, S2, 90,,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,CE,1,
85,timetable,CE 102,Engineering Mechanics,I - Jangid R.S.,   FullSemester,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00, S3, 90,,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,CE,1,
86,timetable,CE 102,Engineering Mechanics,I - Desai Yogesh M.,   FullSemester,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00, S4, 90,,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,CE,1,
87,timetable,CE 204,Engineering Surveying,I - Rao E.P.,   FullSemester,3 Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00, S1, 0,,Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,3,CE,2,
88,timetable,CE 204,Engineering Surveying,I - Raaj Ramsankaran,   FullSemester,3 Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00, S2, 0,,Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,3,CE,2,
89,timetable,CE 222,Structural Mechanics I,I - N.K.Chandiramani,   FullSemester,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00, S1, 0,,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,CE,2,
90,timetable,CE 222,Structural Mechanics I,I - Swagata Basu,   FullSemester,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00, S2, 0,,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,CE,2,
91,timetable,CE 228,Applied Hydraulic Engineering,I - Arpita Mondal,   FullSemester,4 Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00, S1, 0,,Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,4,CE,2,
92,timetable,CE 228,Applied Hydraulic Engineering,I - Riddhi Singh,   FullSemester,4 Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00, S2, 0,,Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,4,CE,2,
93,timetable,CE 230,Hydraulic Engineering Lab,I - R. Balaji,   FullSemester,L4 Fri-L4-14:00:00-16:55:00, S1, 0,, Fri-L4-14:00:00-16:55:00,L4,CE,2,
94,timetable,CE 230,Hydraulic Engineering Lab,I - Jothiprakash V.,   FullSemester,L2 Tue-L2-14:00:00-16:55:00, S2, 0,, Tue-L2-14:00:00-16:55:00,L2,CE,2,
95,timetable,CE 232,Building Materials and Construction,I - Prakash Nanthagopalan,   FullSemester,1 Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,, 0,,Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,1,CE,2,
96,Instructor information not avilable,CE 323,Geotechnical Engineering I,,,,, 0,,,0,CE,3,
97,timetable,CE 324,Engineering Law,A - Milind S. Wankhede I - Sinha Ravi,   FullSemester,12 Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,, 60,, Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,12,CE,3,
98,timetable,CE 330,Geotechnical Engineering II,I - Singh D.N.,   FullSemester,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00, S1, 0,,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,CE,3,
99,timetable,CE 330,Geotechnical Engineering II,I - Singh D.N.,   FullSemester,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00, S2, 0,,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,CE,3,
100,timetable,CE 332,Structural Design II,I - Ghosh Siddhartha,   FullSemester,1 Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00, S1, 0,,Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,1,CE,3,
