,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Registration Limit,Division.1,Time,Slot_code,Dept,Yxx ka Y,Restrictions
0,timetable,AE 234,Aircraft Propulsion,I - Kowsik V R Bodi,   FullSemester,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,, 0,,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,AE,2,
1,timetable,AE 234,Aircraft Propulsion,I - Kowsik V R Bodi,   FullSemester,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00, M, 20,,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,AE,2,
2,timetable,AE 236,Compressible Fluid Mechanics,I - Vineeth Nair,   FullSemester,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00, M, 20,,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,AE,2,
3,timetable,AE 238,Aerospace Structural Mechanics,I - Susmita Naskar,   FullSemester,1 Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,, 0,,Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,1,AE,2,
4,timetable,AE 238,Aerospace Structural Mechanics,I - Susmita Naskar,   FullSemester,1 Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00, M, 20,,Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,1,AE,2,
5,timetable,AE 240,Spaceflight Mechanics,I - Joshi Ashok,   FullSemester,3 Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,, 75,,Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,3,AE,2,
6,timetable,AE 240,Spaceflight Mechanics,I - Joshi Ashok,   FullSemester,3 Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00, M, 20,,Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,3,AE,2,
7,timetable,AE 242,Aerospace Measurements Laboratory,I - Arya Hemendra,   FullSemester,L2 Tue-L2-14:00:00-16:55:00,, 0,, Tue-L2-14:00:00-16:55:00,L2,AE,2,
8,timetable,AE 305,Flight Mechanics II,I - Shashi Ranjan Kumar,   FullSemester,14 Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,, 0,, Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,14,AE,3,
9,timetable,AE 305,Flight Mechanics II,I - Shashi Ranjan Kumar,   FullSemester,14 Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00, M, 20,, Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,14,AE,3,
