Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,,,,,,,Division
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,,,,,,
12,timetable,HS 303,Psychology,I - A. Khan,  ,3, S2,, 125,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,,,,,,
13,timetable,HS 305,Reading Literature,A - Sharmistha Saha,  ,3, S1,, 55,,,,,,,,
,,,,A - Suddhaseel Sen,,,,,,,,,,,,,
,,,,I - Sharmila,,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,,,,,,
14,timetable,HS 305,Reading Literature,A - Sharmila,  ,3, S2,, 55,,,,,,,,
,,,,A - Suddhaseel Sen,,,,,,,,,,,,,
,,,,I - Sharmistha Saha,,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,,,,,,
15,timetable,HS 305,Reading Literature,A - Sharmila,  ,3, S3,, 55,,,,,,,,
,,,,A - Sharmistha Saha,,,,,,,,,,,,,
,,,,I - Suddhaseel Sen,,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,,,,,,
16,timetable,HS 306,Econometrics I,I - Tara S. Shaw,  ,11,,, 0, View,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Fri-11B-15:30:00-16:55:00,,,,,,,,,,,
,,,,,,Tue-11A-15:30:00-16:55:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
17,timetable,HS 307,Sociology,I - Ahonaa Roy,  ,3, S1,, 204,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,,,,,,
18,timetable,HS 307,Sociology,I - Suryakant Waghmore,  ,3, S2,, 213,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,,,,,,
19,timetable,HS 308,Econometrics I Lab,I - Tara S. Shaw,  ,13,,, 0, View,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Mon-13A-19:00:00-20:25:00,,,,,,,,,,,
,,,,,,Thu-13B-19:00:00-20:25:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
20,timetable,HS 311,International Economics I,A - Saptarshi Prosonno Ghosh,  ,6,,, 0, View,,,,,,,
,,,,I - Aditi Balkrishna Chaubal,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
21,timetable,HS 313,Development Economics I,I - Haripriya Gundimeda,  ,9,,, 0, View,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
22,timetable,HS 315,Public Finance,I - Rama Pal,  ,1,,, 0, View,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,,,,,,
