12/24/2020,,,Running courses,,,,,,,
,,,Running courses for year 2020-2021 and semester 2,,,,,,,
2020-2021,,,,,,2 - Spring,GO,,,
Instructor Statu,,,,,,,,,,
*:Subj,,,,,,,,,,
Srno.,Type,CourseCode,Course Name,Instructor(s),Venue,Slot,Division,"BiometricAttendance
Enabled?",RegistrationLimit,Restrictions
,,,,,10:35:00-,,,
,,,,,11:30:00,,,
,,,,,2,,,
,,,,,Mon-2A-,,,
,,,,,09:30:00-,,,
,,,Capitalism :,,10:25:00,,,
18,timetable,HS 449,"theories,",I - Anush Kapadia,Thu-2C-,,0,
,,,"histories,",,11:35:00-,,,
,,,varieties,,12:30:00,,,
,,,,,Tue-2B-,,,
,,,,,10:35:00-,,,
,,,,,11:30:00,,,
19,timetable,HS 451,Cognition andEmotion,I - Rashmi Gupta,,,50,
,,,,,5,,,
,,,,,Fri-5B-,,,
,,,Managerial,I - Surajit,09:30:00-,,,
20,timetable,HS 457,Economics,Bhattacharya,10:55:00,M,40,
,,,,,Wed-5A-,,,
,,,,,09:30:00-,,,
,,,,,10:55:00,,,
,,,,,2,,,
,,,,,Mon-2A-,,,
,,,,,09:30:00-,,,
,,,Contemporary,,10:25:00,,,
21,timetable,HS 491,Urban India;,I - Kushal Deb,Thu-2C-,,0,
,,,Sociological,,11:35:00-,,,
,,,Perspective,,12:30:00,,,
,,,,,Tue-2B-,,,
,,,,,10:35:00-,,,
,,,,,11:30:00,,,
,,,,,9,,,
,,,Madhyamika,,Mon-9A-,,,
,,,Philosophy in the,,15:30:00-,,,
22,timetable,HS 502,Buddhist,I - C.D. Sebastian,16:55:00,,0,View
,,,Tradition,,Thu-9B-,,,
,,,,,15:30:00-,,,
,,,,,16:55:00,,,
23,timetable,HS 504,Western,I - Amrita,11,,0,View
,,,Philosophy in the,Banerjee,,,,
,,,Time of Crisis,,Fri-11B-,,,
,,,,,15:30:00-,,,
https://asc.iitb.ac.in/academic/utility/RunningCourses.jsp?deptcd=HS&year=2020&semester=2,,,,,,,,3/7

12/24/2020,,,,,Running courses,,
,,,,,16:55:00,,
,,,,,Tue-11A-,,
,,,,,15:30:00-,,
,,,,,16:55:00,,
,,,,,10,,
,,,,,Fri-10B-,,
,,,Writing and,,14:00:00-,,
24,timetable,HS 506,Research in,I - Siby K.George,15:25:00,0,View
,,,Philosophy,,Tue-10A-,,
,,,,,14:00:00-,,
,,,,,15:25:00,,
,,,,,11,,
,,,,,Fri-11B-,,
,,,Science &,,15:30:00-,,
25,timetable,HS 602,Technology in,I - Ahonaa Roy,16:55:00,0,
,,,India,,Tue-11A-,,
,,,,,15:30:00-,,
,,,,,16:55:00,,
,,,,,9,,
,,,,,Mon-9A-,,
,,,Environmental,I - Haripriya,15:30:00-,,
26,timetable,HS 606,Planning,Gundimeda,16:55:00,0,
,,,Development,,Thu-9B-,,
,,,,,15:30:00-,,
,,,,,16:55:00,,
,,,,,6,,
,,,,,Fri-6B-,,
,,,Introduction to,I - K.,11:05:00-,,
27,timetable,HS 618,Indian Astronomy,Ramasubramanian,12:30:00,0,
,,,,,Wed-6A-,,
,,,,,11:05:00-,,
,,,,,12:30:00,,
,,,,,6,,
,,,,,Fri-6B-,,
,,,Contemporary,I - Ratikanta,11:05:00-,,
28,timetable,HS 621,Indian Philosophy,Panda,12:30:00,0,
,,,,,Wed-6A-,,
,,,,,11:05:00-,,
,,,,,12:30:00,,
,,,,,6,,
,,,Contemporary,,Fri-6B-,,
,,,Issues in,I - Rajkishore,11:05:00-,,
29,timetable,HS 624,Philosophy of,Nath,12:30:00,0,
,,,Mind,,Wed-6A-,,
,,,,,11:05:00-,,
,,,,,12:30:00,,
,,,,,6,,
,,,,,Fri-6B-,,
,,,Philosophy of,,11:05:00-,,
30,timetable,HS 625,Education,I - R.K. Panda,12:30:00,0,
,,,,,Wed-6A-,,
,,,,,11:05:00-,,
,,,,,12:30:00,,
,,,,,5,,
,,,,,Fri-5B-,,
,,,,,09:30:00-,,
31,timetable,HS 626,Framing Caste,I - Ramesh Bairy,10:55:00,0,
,,,,,Wed-5A-,,
,,,,,09:30:00-,,
,,,,,10:55:00,,
32,timetable,HS 629,Ecology and,I - Sarmistha,6,0,
,,,Society,Pattanaik,,,
,,,,,Fri-6B-,,
,,,,,11:05:00-,,
https://asc.iitb.ac.in/academic/utility/RunningCourses.jsp?deptcd=HS&year=2020&semester=2,,,,,,,4/7

12/24/2020,,,,,Running courses,,
,,,,,12:30:00,,
,,,,,Wed-6A-,,
,,,,,11:05:00-,,
,,,,,12:30:00,,
,,,,,12,,
,,,,,Mon-12A-,,
,,,Theories of,I - Kulkarni A,17:30:00-,,
33,timetable,HS 634,Verbal Congnition,Malhar,18:55:00,,0
,,,(Shaabdabodha),,Thu-12B-,,
,,,,,17:30:00-,,
,,,,,18:55:00,,
,,,,,6,,
,,,,,Fri-6B-,,
,,,Consumer,,11:05:00-,,
34,timetable,HS 710,Psychology,I - A. Khan,12:30:00,,0
,,,,,Wed-6A-,,
,,,,,11:05:00-,,
,,,,,12:30:00,,
,,,,,4,,
,,,,,Mon-4A-,,
,,,,,11:35:00-,,
,,,,,12:30:00,,
35,timetable,HS 791,Communication,I - Ramesh Bairy,Thu-4C-,S1,0
,,,Skills -I,,09:30:00-,,
,,,,,10:25:00,,
,,,,,Tue-4B-,,
