,Course Code,Course Name,Dept,Division,Division.1,Instructor(s),Registration Limit,Restrictions,Slot,Slot_code,Time,Type,Venue,Yxx ka Y
10,AE 330,Aerospace Propulsion,AE,,,I - Sudarshan Kumar, 0,,8 Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,8,Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,timetable,  ,3
11,AE 332,Aircraft Design,AE,,,I - Avijit Chatterjee, 0,,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,timetable,  ,3
12,AE 427,Control Systems Laboratory,AE,,,A - Shashi Ranjan Kumar I - Arnab Maity, 0,,L3 Thu-L3-14:00:00-16:55:00,L3, Thu-L3-14:00:00-16:55:00,timetable,  ,4
13,AE 607,Aerospace Propulsion Laboratory,AE,,,I - Hrishikesh Gadgil, 0,,L2 Tue-L2-14:00:00-16:55:00,L2, Tue-L2-14:00:00-16:55:00,timetable,  ,6
14,AE 611,Aerodynamics Lab,AE,,,A - Aniruddha Sinha A - Dhwanil Shukla A - Vineeth Nair A - Viren Menezes I - Mandal J.C., 0,,L1 Mon-L1-14:00:00-16:55:00,L1, Mon-L1-14:00:00-16:55:00,timetable,  ,6
15,AE 622,Computing of High Speed Flows,AE,,,I - Krishnendu Sinha, 0,,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,timetable,  ,6
16,AE 624,Hypersonic Flow Theory,AE,,,I - Viren Menezes, 0,,13 Mon-13A-19:00:00-20:25:00 Thu-13B-19:00:00-20:25:00,13, Mon-13A-19:00:00-20:25:00 Thu-13B-19:00:00-20:25:00,timetable,  ,6
17,AE 648,Energy Methods in Structural Mechanics,AE,,,I - Chandra S. Yerramalli, 0,,3 Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,3,Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,timetable,  ,6
18,AE 649,Finite Element Method,AE,,,A - P J Guruprasad I - Mujumdar P. M., 15,,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,timetable,  ,6
19,AE 660,Interfacial Phenomena in Liquid Atomization,AE,,,I - Hrishikesh Gadgil, 15,,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,timetable,  ,6
20,AE 665,Aircraft Stealth Technology,AE,,,I - S. P. Mahulikar, 37,,15 Fri-15B-19:00:00-20:25:00 Tue-15A-19:00:00-20:25:00,15, Fri-15B-19:00:00-20:25:00 Tue-15A-19:00:00-20:25:00,timetable,  ,6
21,AE 666,Adaptive and Learning Control Systems,AE,,,I - Arnab Maity, 0,,12 Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,12, Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,timetable,  ,6
22,AE 667,Rotary Wing Aerodynamics,AE,,,I - Dhwanil Shukla, 0,,1 Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,1,Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,timetable,  ,6
23,AE 678,Aeroelasticity,AE,,,I - Mujumdar P. M., 0,,8 Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,8,Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,timetable,  ,6
24,AE 699,Control Systems Lab,AE,,,A - Shashi Ranjan Kumar I - Arnab Maity, 0,,L3 Thu-L3-14:00:00-16:55:00,L3, Thu-L3-14:00:00-16:55:00,timetable,  ,6
25,AE 706,Computational Fluid Dynamics,AE,,,I - Mandal J.C., 45,,15 Fri-15B-19:00:00-20:25:00 Tue-15A-19:00:00-20:25:00,15, Fri-15B-19:00:00-20:25:00 Tue-15A-19:00:00-20:25:00,timetable,  ,7
26,AE 708,Aerospace Propulsion,AE,,,I - Sudarshan Kumar, 0,,8 Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,8,Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,timetable,  ,7
27,AE 710,Aeroacoustics,AE,,,I - Aniruddha Sinha, 0,,5 Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,5,Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,timetable,  ,7
28,AE 711,Aircraft Propulsion,AE,,,I - Kowsik V R Bodi, 0,,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,timetable,  ,7
29,AE 713,Space Flight Dynamics,AE,,,I - Joshi Ashok, 15,,3 Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,3,Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,timetable,  ,7
30,AE 714,Aircraft Design,AE,,,I - Pant R.K., 50,,12 Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,12, Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,timetable,  ,7
31,AE 717,Aircraft Flight Dynamics,AE,,,I - Shashi Ranjan Kumar, 0,,14 Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,14, Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,timetable,  ,7
32,AE 727,Aircraft Structural Mechanics Lab.,AE,,,I - Chandra S. Yerramalli, 0,,L4 Fri-L4-14:00:00-16:55:00,L4, Fri-L4-14:00:00-16:55:00,timetable,  ,7
33,AE 738,Tensors for Engineers,AE,,,I - Krishnendu Haldar, 0,,5 Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,5,Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,timetable,  ,7
34,AE 755,Optimization for Engineering Design,AE,,,I - Abhijit Gogulapati, 0,,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,timetable,  ,7
35,AE 780,Computational Heat Transfer and Fluid Flow,AE,,,I - Ganapathi Bhat, 0,,14 Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,14, Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,timetable,  ,7
36,AE 792,Communication Skills -II,AE,,,A - Chandra S. Yerramalli I - Dhwanil Shukla, 0,,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,timetable,  ,7
37,BB 404,Metabolism and Bioenergetics,BB,,,I - Ashutosh Kumar, 0,,5 Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,5,Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,timetable,  ,4
38,BB 404,Metabolism and Bioenergetics,BB, M,,I - Ashutosh Kumar, 15,,5 Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,5,Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,timetable,  ,4
39,BB 551,Genetic Engineering Laboratory,BB,,,I - Kiran Kondabagilu, 0,,L3 Thu-L3-14:00:00-16:55:00,L3, Thu-L3-14:00:00-16:55:00,timetable,  ,5
40,BB 602,Research philosophy,BB,,,I - Patankar Swati, 0,,5 Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,5,Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,timetable,  ,6
41,BB 606,Cellular Electricity: Physics & Modeling,BB,,,I - Manchanda Rohit, 0,,11 Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,11, Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,timetable,  ,6
42,BB 608,Advannced Biomaterials and Regeneratiion,BB,,,I - Banerjee Rinti, 0,,8 Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,8,Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,timetable,  ,6
43,BB 610,Biomedical Microsystems,BB,,,I - R. Srivastava, 0,,5 Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,5,Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,timetable,  ,6
44,BB 610,Biomedical Microsystems,BB, M,,I - R. Srivastava, 10,,5 Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,5,Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,timetable,  ,6
45,BB 611,Cell Cycle and Epigenetic Control,BB,,,I - S. Ghosh, 0,,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,timetable,  ,6
46,BB 612,Cell Mechanics and Mechanobiology,BB,,,I - Shamik Sen, 0,,3 Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,3,Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,timetable,  ,6
47,BB 616,Cellular and Tissue Engineering,BB,,,I - Prakriti Tayalia, 0,,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,timetable,  ,6
48,BB 618,Medical Instrumentation,BB,,,I - Mukherji Soumyo, 0,,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,timetable,  ,6
49,BB 621,Biostatistics,BB,,,I - Shamik Sen, 0,,1 Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,1,Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,timetable,  ,6
50,BB 623,Mechanisms of Bacterial Pathogenesis,BB,,,I - Anirban Banerjee, 0,,4 Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,4,Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,timetable,  ,6
51,BB 624,Microfluidics: physics and applications,BB,,,I - Debjani Paul, 0,,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,timetable,  ,6
52,BB 626,Modeling Biological Systems and Processes,BB,,,I - Ranjith P., 0,,12 Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,12, Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,timetable,  ,6
53,BB 628,Molecular Cell Signaling,BB,,,I - G. Subrahmanyam, 0,,11 Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,11, Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,timetable,  ,6
54,BB 630,Industrial Microbiology,BB,,,I - N.S. Punekar, 0,,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,timetable,  ,6
55,BB 632,Topics in Biotechnology II,BB,,,A - Samir Maji I - D. Panda, 0,,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,timetable,  ,6
56,BB 642,Protein Crystallography,BB,,,I - Prasenjit Bhaumik, 0,,14 Tue-14A-17:30:00-18:55:00,14, Tue-14A-17:30:00-18:55:00,timetable,  ,6
57,BB 702,Technology in Surgical Reconstruction,BB,,,I - Vivek P. Soni, 0,,10 Fri-10B-14:00:00-15:25:00 Tue-10A-14:00:00-15:25:00,10, Fri-10B-14:00:00-15:25:00 Tue-10A-14:00:00-15:25:00,timetable,  ,7
58,BB 704,Diffuse Optical Imaging,BB,,,I - Hari M. Varma, 0,,8 Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,8,Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,timetable,  ,7
59,CE 102,Engineering Mechanics,CE, S1,,I - Jayadipta Ghosh, 110,,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,timetable,  ,1
60,CE 102,Engineering Mechanics,CE, S2,,I - Manish Kumar, 110,,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,timetable,  ,1
61,CE 102,Engineering Mechanics,CE, S3,,I - Jangid R.S., 110,,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,timetable,  ,1
62,CE 102,Engineering Mechanics,CE, S4,,I - Desai Yogesh M., 110,,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,timetable,  ,1
63,CE 204,Engineering Surveying,CE, S1,,I - Rao E.P., 0,,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,timetable,  ,2
64,CE 204,Engineering Surveying,CE, S2,,I - Raaj Ramsankaran, 0,,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,timetable,  ,2
65,CE 222,Structural Mechanics I,CE, S1,,I - N.K.Chandiramani, 0,,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,timetable,  ,2
66,CE 222,Structural Mechanics I,CE, S2,,I - Swagata Basu, 0,,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,timetable,  ,2
67,CE 228,Applied Hydraulic Engineering,CE, S1,,I - Arpita Mondal, 0,,4 Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,4,Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,timetable,  ,2
68,CE 228,Applied Hydraulic Engineering,CE, S2,,I - Riddhi Singh, 0,,4 Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,4,Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,timetable,  ,2
69,CE 230,Hydraulic Engineering Lab,CE, S1,,I - R. Balaji, 0,,L4 Fri-L4-14:00:00-16:55:00,L4, Fri-L4-14:00:00-16:55:00,timetable,  ,2
70,CE 230,Hydraulic Engineering Lab,CE, S2,,I - Jothiprakash V., 0,,L2 Tue-L2-14:00:00-16:55:00,L2, Tue-L2-14:00:00-16:55:00,timetable,  ,2
71,CE 232,Building Materials and Construction,CE,,,I - Prakash Nanthagopalan, 0,,1 Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,1,Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,timetable,  ,2
72,CE 323,Geotechnical Engineering I,CE,,,, 0,,,0,,Instructor information not avilable,,3
73,CE 324,Engineering Law,CE,,,A - Milind S. Wankhede I - Sinha Ravi, 60,,12 Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,12, Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,timetable,  ,3
74,CE 330,Geotechnical Engineering II,CE, S1,,I - Singh D.N., 0,,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,timetable,  ,3
75,CE 330,Geotechnical Engineering II,CE, S2,,I - Singh D.N., 0,,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,timetable,  ,3
76,CE 332,Structural Design II,CE, S1,,I - Ghosh Siddhartha, 0,,1 Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,1,Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,timetable,  ,3
77,CE 332,Structural Design II,CE, S2,,I - Amit Kumar Das, 0,,1 Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,1,Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,timetable,  ,3
78,CE 334,Transportation Engineering II,CE, S1,,I - P.Vedagiri, 0,,4 Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,4,Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,timetable,  ,3
79,CE 334,Transportation Engineering II,CE, S2,,I - Nagendra Rao Velaga, 0,,4 Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,4,Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,timetable,  ,3
80,CE 336,Geotechnical Engineering Lab II,CE, S1,,I - Prasenjit Basu, 0,,L2 Tue-L2-14:00:00-16:55:00,L2, Tue-L2-14:00:00-16:55:00,timetable,  ,3
81,CE 336,Geotechnical Engineering Lab II,CE, S2,,I - Santiram Chatterjee, 0,,L4 Fri-L4-14:00:00-16:55:00,L4, Fri-L4-14:00:00-16:55:00,timetable,  ,3
82,CE 338,Estimation and Materials Testing Laboratory,CE, S1,,I - Muhammad Salman, 0,,L4 Fri-L4-14:00:00-16:55:00,L4, Fri-L4-14:00:00-16:55:00,timetable,  ,3
83,CE 338,Estimation and Materials Testing Laboratory,CE, S2,,I - Albert Thomas, 0,,L2 Tue-L2-14:00:00-16:55:00,L2, Tue-L2-14:00:00-16:55:00,timetable,  ,3
84,CE 433,Water Supply and Waste Water Engineering,CE,,,I - Gupta Kapil, 60,,8 Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,8,Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,timetable,  ,4
85,CE 444,Advanced Geotechnical Analysis,CE,,,I - A. Juneja, 60,,13 Mon-13A-19:00:00-20:25:00 Thu-13B-19:00:00-20:25:00,13, Mon-13A-19:00:00-20:25:00 Thu-13B-19:00:00-20:25:00,timetable,  ,4
86,CE 448,Prestressed Concrete Design,CE,,,I - Arghadeep Laskar, 60,,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,timetable,  ,4
87,CE 462,Elements of Structural Dynamics,CE,,,I - Banerji P., 60,,14 Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,14, Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,timetable,  ,4
88,CE 465,Numerical Methods in Civil Engineering,CE,,,I - Sinha Ravi, 50,,12 Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,12, Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,timetable,  ,4
89,CE 607,Numerical Techniques in Hydraulic Engg,CE,,,I - T I Eldho, 60,,5 Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,5,Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,timetable,  ,6
90,CE 608,Eco-hydro-Climatology,CE,,,I - Subimal Ghosh, 60,,8 Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,8,Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,timetable,  ,6
91,CE 610,Introduction to Earthquake Engineering,CE,,,I - Meera Raghudan, 50,,8 Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,8,Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,timetable,  ,6
92,CE 620,Finite Element Methods,CE,,,I - M.M.Inamdar, 60,,1 Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,1,Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,timetable,  ,6
93,CE 629,Elastic Waves in Solids,CE,,,I - Sauvik Banerjee, 60,,5 Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,5,Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,timetable,  ,6
94,CE 645,Geotechnical Centrifuge Modelling,CE,,,I - Viswanadham B.V.S., 60,,5 Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,5,Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,timetable,  ,6
95,CE 651,Bridge Engineering,CE,,,I - Goyal Alok, 60,,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,timetable,  ,6
96,CE 652,Foundations of Offshore Structures,CE,,,I - Santiram Chatterjee, 60,,14 Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,14, Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,timetable,  ,6
97,CE 654,Advanced Hydrological Analysis and Design,CE,,,I - Jothiprakash V., 60,,3 Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,3,Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,timetable,  ,6
98,CE 656,Plasticity Theory and Applications in Geomechanics,CE,,,I - Prasenjit Basu, 60,,12 Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,12, Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,timetable,  ,6
99,CE 658,Hydrogeomorphology,CE,,,I - Basudev Biswal, 60,,14 Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,14, Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,timetable,  ,6
100,CE 659,Advanced Surveying,CE,,,I - Raaj Ramsankaran, 20,,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,timetable,  ,6
101,CE 676,Water Resources Systems,CE,,,I - M.J.Reddy, 60,,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,timetable,  ,6
